color,ways,difficulty,example
#7fffbb,Storing data or code,1,https://github.com/iamciera/sister-of-pin1-material/blob/master/cosegregation/readme.md
#76e5b1,Virtual Lab notebook,1,https://github.com/Putnam-Lab/Lab_Management
#6ecea8,Responding to reviewers,1,https://github.com/BrunaLab/HeliconiaDemography/issues?q=is%3Aissue+label%3A%22reviewer+comment%22+
#66b99f,Building websites,2,https://github.com/cabinetofcuriosity
#5fa798,Making code citable,1,N/A
#589892,Course material,2,https://github.com/hlowman/TidyTuesday/blob/master/resources/Git_GitHub_Guide.pdf
#52898b,Coding clubs,2,https://github.com/riffomonas/code_club
#4c7c86,Collaborative coding,2,N/A
#467080,Writing manuscript,3,https://github.com/SORTEE-Github-Hackathon/manuscript
#3e627a,Open science discussion,1,https://github.com/SORTEE-Github-Hackathon/manuscript/discussions
#375473,Developing data standards,1,https://github.com/ess-dive-community
#2d446b,Project continuity,2,N/A
#1f3162,Asynchronous working,1,N/A
#081d57,GitHub Organizations,1,N/A
